type,text,check,predicted,phishing_prob
sms,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill,1,0,0.1973
email,"powerball results saturday september 14 , 2002 estimated jackpot $ 100 million would you like to know what the powerball winning lottery numbers will be in the morning , if so just follow this link mailto : results . . com although every attempt is made to ensure that this list of numbers is accurate , the official winning numbers are recorded in the official draw files as certified by the independent accounting firm . at the request of our players , these numbers are listed in numerical order . wednesday september 11 , 2002 draw results : 03 06 26 39 48 pb 28 pp 03 or visit http : / / www . powerballinfo . cjb . net are you tired of your job ? then please visit http : / / www . cash - in . cjb . net it ' s time to retire ! !",1,0,0.4325
email,"look at this - removes wrinkles and produces younger , tighter , thicker skin networkgpegasus ^ bumcombe - stiela this site will save you alot of money on meeds . . . overn ~ ite deliivery ! dextelgwochung http : / / www . morning - meds . com that is , if you know how to control them - - - - - original message - - - - - from : arcelia mills [ mailto : yopyep @ uilhfnog . com ] to : vincenzo lapp ; renaldo testen ; felton antoine ; rickey quiroz sent : tuesday , march , 2004 7 : 06 pm subject : improve memory blaca , eepmattfrigaard but here comes ozma ; so i ' d better hush up , for the princess doesn ' t like me to chatter since she changed her name from tip to ozma his ignorance of modern appliances was so great that he did not know enough to push the button 4 5 6 7 8 9 10 11 12 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 sofismol 1 segundoge ` nitao 2 vidriola , vaporear llevadero .",1,0,0.4932
email,"Robert Harley writes: > >OK, then. Consider a population of 1,000,000. 500,000 men each > >pair off with 500,000 women. Then, 1 man, let's call him ""Wilt"", > >also has sex with the other 499,999 women > > This has never happened. Its relevance is nil.It was a extreme contrived example because you glosded over the point of the earlier 3-person example. But OK, Mr Math, let it be N men and women, for any N>2. They all pair off. Then, some number H, N>H>0, of men has sex with all the other N-1 women he hasn't yet had sex with. Pick any N and H that might be interesting. Any choice of values results in meaningful differences between the sexes' ""promiscuity"", as commonly understood. It should be more obvious with extreme choices of numbers, but it is also true for any choice of N and H, if unrealistic totals distract you.Further, and I was hoping this would be clear without saying so outright, this model actually approximates the cliche ""common wisdom"" about per-gender sexual behavior, if you reverse the male and female roles.Those stereotypes are: that more men than women seek multiple partners -- men being ""more promiscuous"" than women -- and that surplus of male interest is satisfied by a smaller number of hyperpromiscuous women (often derisively labelled ""sluts"").> So I chose not to type ""on average"" explicitly in my post, since this > is FoRK and one tends to assume that people have a clue. > > There is no disagreement between us, except that I am more interested > in typical behaviour and you in extreme. Nope, now you've amended the meaning of your initial statement to make it more defensible. What I objected to was:Robert Harley: # >The assumption that females of all species tend to be less promiscuous # >than males simply does not fit the facts, Hrdy contended. # # Well, DUH!!! # # It is perfectly obvious that (heterosexual) promiscuity is exactly, # precisely identical between males and females. # # Of course the shapes of the distributions may differ.If you assumed people on FoRK had a clue, would you have needed to jump in with a patronizing ""DUH!!""? If you were talking about fuzzy, typical behavior, would you have huffed and puffed with the words ""perfectly obvious"" and ""exactly, precisely identical""? If your concern was with the ""typical"", why didn't you adopt the typical definition of ""promiscuous"", rather than a straw-man definition which allowed you to interject ""DUH!!"" and mock an anthrolopology professor's conclusions? > Actually, you probably just > had a bad day and felt like jumping down my throat for the hell of it.You are welcome to that theory!But here's an alternate theory: when you jump in with a patronizing and overblown pronouncement -- e.g. ""DUH!!... perfectly obvious... exactly, precisely identical..."" -- and that pronouncement is itself sloppy and erroneous, then others may get a kick out of popping your balloon. - Gordon",0,1,0.5855
email,"We have a partnership with Webex. We use their serivce for cross-firewall app sharing--something that Netmeeting/Messenger and Sametime require a lot of configuration of firewalls, authentications, access controls and user training for. Now Webex has invites, instant meeting launch without any configuration. Users like it as now they have something to do in between Web conferences and places to store and author documents, reschedule meetings, relaunch meetings. Webex likes it as people are signed on all the time. GregSeptember 19, 2002 Tadpole's Secure Web Software Subsidiary Endeavors Technology Teams With Web Meetings Leader WebEx Communications To Provide Best-of-Breed Solution For Extended Group Collaboration During and Between Online Meetings Web meetings raise the quality of team interaction and communications for users of the Web's secure, P2P collaboration network ### Tadpole Technology plc, the mobile computing and network infrastructure group, today announces that its web collaboration subsidiary, Endeavors Technology, Inc., has teamed with Web meetings leader, WebEx Communications,Inc. to help professionals make better use of corporate time and resources, and gain competitive advantage. By integrating the advanced communications capabilities of the WebEx platform with Endeavors' secure P2P collaboration network, Endeavors has created a new method of world-class teamwork and interaction without the hassle of travel. With the rapid growth in popularity of Web meetings, the rationale for this world-class relationship stems from the growing need for workgroups around the world to maintain the quality of the team collaboration experience between online meetings. The issue by those preferring not to travel is how to continue to collaborate and share information with team members between meetings rather than depending on intermittent, insecure email and multiple copies of constantly changing documents. Inter-meeting collaboration needs an asynchronous medium, independent of time. In asynchronous mode, a team member can access, read and edit information relevant to the meeting group at his/her convenience rather than having to fit into the schedules and timeframes of others. A secured environment available only to members of a meeting or project is also essential. Endeavors' Magi technology converts the Web into a secure platform for sharing information directly from people's desktops. WebEx meetings can be recorded and reviewed at any time, documents shared in the meeting can be actioned in real-time or at a later date, calendars and project schedules can be updated at any time, and new individuals added to the workgroup at will . all in a secure environment with people working across the globe, inside or outside company firewalls. Magi peer collaboration securely delivers significant benefits to Web meeting participants. Not only can they share and access information at will, but they can also know which other participants are online or ""present."" This enables them to chat and message each other, search across other people's Magi environment, and work jointly on relevant documents highly productively. With Magi collaboration, in tandem with WebEx conferencing, the savings can be huge in terms of travel costs, phone bills, and, most importantly, timely completion of projects and tasks. ""In order to realise the full potential of Web meetings, best-of-breed services are needed to eliminate time and geographical boundaries,"" says Bernard Hulme, Tadpole's group chief executive. ""The powerful combination of Endeavors' Magi and WebEx's communications technologies will assist global work teams to better meet critical business goals and deadlines by maintaining teamwork momentum within and between Web meetings."" ""WebEx is transforming the way businesses use the Web for sales, marketing, training, support and product design,"" says David Farrington, vice president of corporate development at WebEx Communications. ""By integrating the communications capabilities of the WebEx platform with Endeavors' secure collaboration network, Endeavors has created an offering that provides the best in synchronous and asynchronous communications."" About Magi Magi Enterprise 3.0, an award-winning web collaboration system, transforms today's Web into a highly secure inter- and intra-enterprise collaboration network of files and web resources. For the first time, enterprises can implement ad-hoc Virtual Private Networks for collaboration very rapidly and affordably without disrupting existing applications, networks or work practices. Magi Enterprise 3.0 does this by effectively transforming unsecured, ""read-only"" Web networks into two-way trusted and transparent collaboration environments, through the use of such features as cross-firewall connections, advanced data extraction, an intuitive graphical interface, and universal name spaces generating ""follow me URLs"" for mobile professionals. About Endeavors Technology, Inc. Endeavors Technology, Inc. is a wholly-owned subsidiary of mobile computing and network infrastructure vendor Tadpole Technology plc (LSE-TAD, www.tadpole.com), which has plants and offices in Irvine and Carlsbad (California), and Cambridge, Edinburgh, and Bristol (UK). For further information on Endeavors' P2P solutions, call 949-833-2800, email to p2p@endeavors.com, or visit the company's website http://www.endeavors.com. ends For further information, please contact: Bernard Hulme, Tadpole Technology - via Patcom Media Hugh Paterson, Patcom Media - Tel 0207 987 4888, Email hughp@patcom-media.com Bullets for Editors WebEx Web communications services (synchronous): network-based platform for delivering highly interactive, visually dynamic Web communications. The WebEx platform supports real-time data, voice and video communications. WebEx is the only company to design, develop and deploy a global network for real-time Web communications. Magi On and off-line (asynchronous) communication and collaboration: cross enterprise search and discovery, transparent security and trust (SSL & PKI), 2-way web access to files and applications, permanent cross firewall access, ad hoc and permanent secure groups, centralized or decentralized control of access lists and security privileges, centralized caching of information (never lose anything critical), multi-device access to information (desktop, laptop, PDA).",0,1,0.6445
sms,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1,0,0.387
email,chest pain or discomfort canadian generics suicide attempt or suicidal ideation http : / / www . inteemu . com / price . asp ? id = jnl,1,0,0.451
email,"read this before purchasing penis enlarge products ! add 3 + inches today - don ' t get left behind http : / / www . siratu . com / ss / all dogmas perish the thinking mind , especially ones you agree with . freedom and indedendence form my character . there is no such thing as fun for the whole family . opinion is ultimately determined by the feelings , and not by the intellect . i never vote for anyone ; i always vote against .",1,0,0.2682
sms,Idea will soon get converted to live:),0,1,0.5509
email,benachrichtung zum ( fehlgeschlagen ) ? = dies ist eine automatisch erstellte benachrichtigung + apw - ber den zustellstatus . + anw - bermittlung an folgende empf + aoq - nger fehlgeschlagen . jochenfechtel @ fetra . de,1,0,0.273
